architecture,combination,acceleration,fuel_cons_NEDC,category,engine,motors,fuel_cons_HWFET,fuel_cons_US06,fuel_cons_WLTC,cost,availability,weight
acceleration_e16757_a1_0,i1m96_50_96_33,3.376296334536308,3.522186344800631,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 96kW, 33kW",3.6569868773809535,5.163466170293769,3.1393073041731165,64750.0,0.9987309999999999,2353.0
acceleration_e16757_a1_0,i1m96_50_50_96,3.2728539389964912,3.5350861732350154,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 50kW, 96kW",3.667135583267733,5.176887624294338,3.150095638598858,65150.0,0.9987309999999999,2411.0
acceleration_e16757_a1_0,i1m96_50_50_50,3.6340645785275716,3.500196777276415,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 50kW, 50kW",3.6396795071839887,5.140572551185005,3.120298233450064,62150.0,0.9987309999999999,2321.0
acceleration_e16757_a1_0,i1m96_50_50_33,3.850287410034063,3.4873157163312722,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 50kW, 33kW",3.6295826015405934,5.127153361397866,3.1101178655021733,61750.0,0.9987309999999999,2263.0
acceleration_e16757_a1_0,i1m96_50_33_96,3.3762963345362573,3.5221863448006294,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 33kW, 96kW",3.6569868773809535,5.163466170293767,3.1393073041731223,64750.0,0.9987309999999999,2353.0
acceleration_e16757_a1_0,i1m96_50_33_50,3.850287410034063,3.4873157163312523,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 33kW, 50kW",3.629582601540603,5.127153344946709,3.110117865502175,61750.0,0.9987309999999999,2263.0
acceleration_e16757_a1_0,i1m96_50_33_33,4.135405408192454,3.4744415722242565,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 33kW, 33kW",3.619498405122824,5.113735089736542,3.0997721165175136,61350.0,0.9987309999999999,2205.0
acceleration_e16757_a1_0,i1m96_33_96_96,3.262321099483408,3.5564410846807237,Series - 4WD,"1.5 l, 3 cylinders","96kW, 33kW, 96kW, 96kW",3.684451785240486,5.19978522364717,3.168500426747334,67750.0,0.9987309999999999,2443.0
acceleration_e16757_a1_0,i1m96_33_96_50,3.444377276776057,3.522186344800643,Series - 4WD,"1.5 l, 3 cylinders","96kW, 33kW, 96kW, 50kW",3.6569868773809553,5.16346617029272,3.139307304173121,64750.0,0.9987309999999999,2353.0
acceleration_e16757_a1_0,i1m96_33_96_33,3.5632732100825506,3.5092935062460744,Series - 4WD,"1.5 l, 3 cylinders","96kW, 33kW, 96kW, 33kW",3.6468401675504114,5.150045619553606,3.128519475715643,64350.0,0.9987309999999999,2295.0
